1950	0	1	1	2020	339206	173796	16541	1
1950	22	1	2	2020	773144	399292	378798	1
1950	-11	1	3	2019	712699	375379	355539	1
1949	111	1	4	2020	73656	38534	368668	1
1949	78	1	5	2020	404104	215387	204697	1
			6	2020	84426	44539	4204	1
			7	2019				1
			8	2019				1
			9	2019				1
			10	2019	539	293	250	1
			11	2019				1
			12	2019				1
			13	2019				1
			14	2020	28075	14893	13668	1
			15	2020	36353	19252	17322	1
			16	2019				1
			17	2019				1
			18	2020	83603	4358	41372	1
			19	2019				1
			20	2020	126571	7516	66019	1
			21	2019	29467	1679	15757	1
			22	2019				1
			23	2019				1
			24	2020	11435	59912	57783	1
			25	2019				1
			26	2020	59086	31515	30023	1
			27	2019				1
			28	2019				8
			29	2019				1
			30	2019				1
			31	2019				1
			32	2019				1
			33	2019				1
			34	2019				1
			35	2019				1
			36	2019	87602	4824	45802	1
			37	2019				1
			38	2019	388729	199381	189348	1
			39	2019				1
			40	2019				1
			41	2019				1
			42	2020	85914	44123	42049	1
			43	2019				1
			44	2019				9
			45	2019				7
			46	2019	649742	333299	316443	1
			47	2019				1
			48	2019				1
			49	2019				1
			50	2020	986	485	4698	1
			51	2020	1102	57585	54646	1
			52	2019				1
			53	2020	60937	31519	29648	1
			54	2017				1
			55	2019				1
			56	2019				1
			57	2019				1
			58	2020	13209	7212	6887	1
			59	2019				1
			60	2019				1
			61	2019				1
			62	2020	46463	23186	22427	1
			63	2019				1
			64	2019				1
			65	2019				1
			66	2019				1
			67	2019	48296	25029	23267	1
			68	2019				1
			69	2019				1
			70	2019				1
			71	2019				1
			72	2020	84625	42945	40818	1
			73	2019				1
			74	2019				1
			75	2019				1
			76	2019				2
			77	2019				2
			78	2020	35845	18478	17657	3
			79	2019				4
			80	2020	93807	47984	45116	0
			81	2019				1
			82	2020	55959	3027	29019	1
			83	2019				1
			84	2019				1
			85	2019				1
			86	2019				1
			87	2020	4512	2267	2185	1
			88	2019				1
			89	2019				1
			90	2019				1
			91	2019				1
			92	2019				1
			93	2019				1
			94	2019				1
			95	2014				1
			96	2019				9
			97	2019				8
			98	2019				7
			99	2019				1
			100	2019				1
			101	2019				1
			102	2019				1
			103	2020	353	182	174	1
			104	2019				1
			105	2019				1
			106	2019				1
			107	2020	25144	14086	13307	1
			108	2020	6459	3107	3123	1
			109	2020	17552	9629	9157	1
			110	2019				1
			111	2019				1
			112	2018	227	462	432	1
			113	2019	33831	19304	1809	1
			114	2020	7097	3777	3446	1
			115	2019				1
			116	2011				1
			117	2020	19031	10276	9569	1
			118	2019				1
			119	2019				1
			120	2019				1
			121	2019				1
			122	2020	4414	226	209	1
			123	2019				1
			124	2019				1
			125	2019				1
			126	2019	2092214	1061978	1030194	1
			127	2019				1
			128	2019				1
			129	2019				1
			130	2019				1
			131	2019				1
			132	2019				1
			133	2020	168681	86893	82787	1
			134	2020	52979	28042	26453	1
			135	2019				1
			136	2019				1
			137	2019				1
			138	2019				1
			139	2020	421096			1
			140	2019				1
			141	2019				1
			142	2019				1
			143	2020	355309	192685	182269	1
			144	2019				1
			145	2019				1
			146	2019				1
			147	2019				1
			148	2020	176766	102401	97319	1
			149	2020	61692	33137	31262	1
			150	2019	1940579	984552	92892	1
			151	2019				1
			152	2019				1
			153	2019				1
			154	2019				1
			155	2019				1
			156	2020	113077	59002	55521	1
			157	2019				1
			158	2020	18767	9977	9351	1
			159	2020	5665	29143	27911	1
			160	2019				1
			161	2019	232	121	107	1
			162	2019				1
			163	2019				1
			164	2019				1
			165	2019				1
			166	2019				1
			167	2019				1
			168	2019				1
			169	2019				1
			170	2019				1
			171	2019				1
			172	2019				1
			173	2019				1
			174	2019				1
			175	2019				1
			176	2019				1
			177	2019				1
			178	2020	1112859	606861	576791	1
			179	2019				1
			180	2019				1
			181	2020	293457	159792	149025	1
			182	2019				1
			183	2019	482			1
			184	2019				1
			185	2019				1
			186	2019	615132	316884	298248	1
			187	2019				1
			188	2019				1
			189	2019				1
			190	2019				1
			191	2019				1
			192	2019				1
			193	2019				
